HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,Right_HireDate,TerminationDate,FileName,Input_File_Name,Output_File_Name
15/04/2021,1,False,86,Reed,CG,David,male,Operations Analyst,Operations,15/04/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
06/07/2019,1,False,4,Garcia,D,Mia,female,HR Specialist,Human Resources,06/07/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
18/04/2021,1,False,29,Collins,AB,Daniel,male,Operations Analyst,Operations,18/04/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
03/08/2020,1,False,14,Walker,M,Henry,male,Financial Analyst,Finance,03/08/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
01/05/2015,1,False,1,Smith,A,John,male,Software Engineer,IT,01/05/2015,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
10/08/2021,1,False,64,Lopez,BK,Ava,female,Market Researcher,Marketing,10/08/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
01/02/2022,1,False,48,Hernandez,AU,Benjamin,male,Operations Supervisor,Operations,01/02/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
18/09/2022,1,False,74,Wright,BU,Julia,female,Network Technician,IT,18/09/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
09/12/2022,1,False,16,King,O,George,male,Operations Manager,Operations,09/12/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
21/01/2019,1,False,106,Jackson,DA,Emily,female,HR Administrator,Human Resources,21/01/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
30/12/2022,1,False,104,Martinez,CY,David,male,Operations Assistant,Operations,30/12/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
19/04/2020,1,False,102,Green,CW,James,male,Digital Marketing Manager,Marketing,19/04/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
10/02/2020,1,False,76,Adams,BW,NA,male,Customer Experience Specialist,Customer Support,10/02/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
14/02/2021,1,False,41,Kim,AN,David,male,Product Designer,Design,14/02/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
09/07/2023,1,False,81,Collins,CB,Ava,female,Web Content Manager,Marketing,09/07/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
03/05/2020,1,False,68,Clark,BO,Nina,female,Customer Service Manager,Customer Support,03/05/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
17/06/2019,1,False,18,Green,Q,Bob,male,Network Engineer,IT,17/06/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
12/09/2017,1,False,12,Lee,K,Kevin,male,System Administrator,IT,12/09/2017,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/02/2018,1,False,2,Johnson,B,Emily,female,Project Manager,Operations,15/02/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/05/2021,1,False,75,Scott,BV,Aiden,male,Data Analyst,Finance,15/05/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
19/02/2019,1,False,25,Campbell,X,NA,male,Legal Advisor,Legal,19/02/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
23/05/2020,1,False,35,Cooper,AH,Chloe,female,IT Support Specialist,IT,23/05/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
