UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
,,,,,,,,,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
1,Smith,J,John,Male,Software Engineer,IT,2020-01-15,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
2,Johnson,K,Karen,Female,Project Manager,IT,2019-03-22,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
3,Williams,L,Liam,Male,Data Analyst,Finance,2018-07-30,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
4,Brown,M,Mary,Female,HR Specialist,HR,2021-05-10,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
5,Jones,N,Noah,Male,Web Developer,IT,2020-06-18,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
6,Garcia,O,Olivia,Female,Marketing Manager,Marketing,2017-11-01,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
7,Miller,P,Paul,Male,Sales Representative,Sales,2022-02-14,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
8,Davis,Q,Quinn,Female,Graphic Designer,Marketing,2019-08-05,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30,112,3,0,0,,3,3,Pass,Pass,Pass,Pass,Fail,Pass
