1,Garcia,P,John,Male,Marketing Coordinator,Product,2012-03-05,null,102708.07
2,Johnson,C,Jennifer,Female,HR Manager,HR,2019-06-21,null,125171.33
3,Smith,C,Charles,Male,Software Engineer,Operations,2013-03-11,null,97250.42
4,Jones,Y,Sarah,Female,Sales Executive,IT,2013-10-22,2013-12-18,107840.69
5,Jones,G,John,Male,IT Support,Operations,2017-03-28,null,106233.29
6,Hernandez,D,James,Male,Software Engineer,Marketing,2011-11-20,null,54591.24
7,Garcia,W,Richard,Male,Product Manager,HR,2023-08-06,null,96984.67
8,Smith,W,William,Male,Product Manager,Finance,2015-04-22,null,62766.28
9,Davis,G,Joseph,Male,Operations Specialist,HR,2016-11-05,null,141642.85
10,Williams,T,Jennifer,Female,Product Manager,IT,2015-08-14,null,127393.66
11,Miller,M,John,Male,Product Manager,Sales,2022-12-05,null,111641.99
12,Brown,H,Joseph,Male,Marketing Coordinator,Engineering,2021-06-22,null,50846.01
13,Martinez,F,Joseph,Male,Software Engineer,Finance,2019-11-28,null,70614.19
14,Hernandez,X,Charles,Male,Data Analyst,Marketing,2020-10-13,null,81696.5
15,Garcia,Z,Joseph,Male,Product Manager,Operations,2020-08-08,2023-11-04,144123.71
16,Williams,I,Mary,Female,HR Manager,Sales,2014-12-26,null,146023.9
17,Hernandez,D,Thomas,Male,IT Support,Operations,2019-09-16,null,127618.75
18,Jones,K,Mary,Female,Data Analyst,Finance,2012-06-17,null,133550.95
19,Smith,C,James,Male,Data Analyst,Product,2018-04-23,null,110064.37
20,Hernandez,L,Thomas,Male,Operations Specialist,Finance,2024-06-18,null,126087.83
21,Williams,M,Thomas,Male,HR Manager,HR,2014-11-26,null,120492.65
22,Hernandez,U,Richard,Male,Product Manager,HR,2012-10-03,null,55737.06
23,Smith,E,Jennifer,Female,Operations Specialist,Sales,2023-08-06,2025-01-22,118753.04
24,Hernandez,E,Patricia,Female,Accountant,Finance,2013-12-22,null,142489.99
25,Williams,E,Linda,Female,Sales Executive,Product,2017-08-01,null,130966.47
26,Johnson,D,Thomas,Male,Data Analyst,Engineering,2019-04-13,null,81552.73
