UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,TerminationDate
1,NA,NA,Bob,male,Marketing Director,Finance,18/06/1996,7/6/22
2,Brown,A,Frank,male,Sales Associate,Human Resources,9/5/63,3/6/67
3,Williams,A,Charlie,other,Software Engineer,Marketing,6/11/80,3/1/98
4,Johnson,A,Frank,male,Accountant,Data Science,30/07/2022,18/11/2022
5,Smith,NA,Eve,other,Software Engineer,Data Science,27/07/2001,
6,Johnson,C,Eve,female,HR Manager,Human Resources,1/12/57,
7,Smith,C,Alice,other,Software Engineer,Marketing,17/01/1979,15/11/1989
8,Williams,A,Dana,female,Data Analyst,Engineering,31/03/2000,
9,Miller,A,Alice,female,Sales Associate,Finance,7/7/22,11/8/22
10,Miller,A,Bob,other,HR Manager,Finance,15/03/1999,
11,Williams,NA,Alice,male,HR Manager,Marketing,12/10/79,
12,Smith,NA,Bob,female,Data Analyst,Human Resources,31/07/1963,
13,Williams,NA,Alice,female,Sales Associate,Finance,22/04/1982,12/3/10
14,Smith,B,Eve,male,Software Engineer,Data Science,7/1/19,
15,Brown,NA,Alice,male,Software Engineer,Data Science,11/3/05,
16,NA,B,Alice,other,Software Engineer,Data Science,22/11/1958,
17,Jones,NA,Dana,male,Sales Associate,Data Science,13/07/2001,27/02/2023
18,Johnson,NA,Charlie,male,Sales Associate,Sales,25/02/1994,20/07/2019
19,Smith,A,Dana,female,HR Manager,Sales,17/07/1984,6/7/09
20,Brown,A,Frank,male,Software Engineer,Finance,8/4/03,
21,Jones,B,Bob,other,Data Analyst,Engineering,4/5/70,
22,Smith,C,Dana,female,Marketing Director,Sales,27/02/1992,
23,Jones,NA,Frank,female,Sales Associate,Sales,14/09/1985,1/8/98
24,Brown,A,Alice,male,Software Engineer,Engineering,29/09/1956,
25,Jones,B,Alice,other,Data Analyst,Sales,2/2/03,28/12/2017
26,Williams,C,Eve,other,HR Manager,Human Resources,26/03/2000,
27,Smith,B,Alice,female,HR Manager,Data Science,2/5/64,20/06/1994
28,Miller,NA,Bob,female,Data Analyst,Sales,26/10/2003,6/7/15
29,Brown,B,Dana,other,Software Engineer,Data Science,11/4/04,29/03/2009
30,Jones,B,Frank,other,HR Manager,Data Science,30/01/1952,5/5/21
31,Miller,B,Charlie,female,HR Manager,Marketing,15/04/2007,
32,Miller,B,Frank,female,Accountant,Data Science,31/03/1964,
33,Jones,B,Frank,male,Data Analyst,Engineering,1/1/18,
34,Williams,NA,Bob,male,Data Analyst,Human Resources,13/08/1968,19/09/2010
35,Miller,A,Frank,female,Marketing Director,Engineering,26/09/1960,13/01/1999
36,Johnson,NA,Eve,female,Accountant,Sales,29/08/2023,1/9/23
37,Williams,B,Bob,other,Sales Associate,Data Science,5/2/54,1/12/09
38,Brown,NA,Dana,female,Data Analyst,Engineering,19/04/1977,
39,Johnson,B,Bob,other,Accountant,Finance,21/11/1991,
40,Williams,NA,NA,other,Software Engineer,Human Resources,21/10/1969,
41,Brown,B,NA,other,Data Analyst,Human Resources,22/08/1970,
42,Miller,C,Charlie,male,Accountant,Marketing,29/01/1956,
43,Brown,A,Charlie,female,HR Manager,Human Resources,9/9/06,15/05/2022
44,Miller,NA,Eve,other,Marketing Director,Marketing,16/09/2019,31/08/2023
45,NA,C,NA,other,Sales Associate,Sales,19/03/1978,22/06/1986
