unique_id,last_name,middle_initial,first_name,gender,job_title,department,hiredate,termination_date
001,Smith,J,John,M,Sales Manager,Sales,2020-01-15,
002,Johnson,A,Emily,F,Marketing Specialist,Marketing,2019-03-22,2022-05-30
003,Williams,M,James,M,Operations Coordinator,Operations,2021-07-10,
004,Brown,T,Sarah,F,Financial Analyst,Finance,2018-11-05,2023-08-15
005,Jones,L,Michael,M,HR Generalist,Human Resources,2020-06-18,
006,Miller,K,Alice,F,IT Support Technician,IT,2019-09-12,
007,Davis,R,David,M,Production Supervisor,Manufacturing,2021-04-20,
008,García,S,Linda,F,Quality Control Inspector,Quality Assurance,2022-02-01,
009,Rodriguez,T,Jose,M,Logistics Manager,Logistics,2017-05-25,2024-01-10
010,Martinez,N,Patricia,F,Customer Service Representative,Customer Service,2021-12-30,
