EmployeeID,FirstName,LastName,JobTitle,Department,DateOfHire,Email,Salary,Location
101,Vincent,Weaver,Tour manager,Legal,2018-10-12,michaelcampbell@christensen.com,124714.84,Redmond
102,Jason,Smith,Hospital pharmacist,HR,2023-02-11,ronaldroberts@gmail.com,138423.49,Seattle
103,Stephanie,Hernandez,"Engineer, petroleum",Legal,2022-01-15,xschmidt@carter-elliott.com,61220.03,Kirkland
104,Robert,David,Theatre stage manager,HR,2018-05-01,richardlee@gmail.com,127512.7,Bellevue
105,Christopher,Lewis,Electronics engineer,Legal,2020-09-14,johnsonjonathan@willis.org,65285.76,Bellevue
106,Jeffrey,Mendez,Counselling psychologist,HR,2023-11-27,mccormicknicole@lynch.org,88960.96,Redmond
107,Robert,Ramirez,"Buyer, industrial",Marketing,2020-08-06,michael63@yahoo.com,146553.69,Kirkland
108,Brian,Moore,Environmental education officer,Legal,2017-05-15,jamesgonzales@reed.com,80601.16,Bellevue
109,Richard,Barnes,Hospital doctor,Finance,2021-09-26,bweaver@taylor-mccarthy.com,53969.43,Seattle
110,Jeremy,Mckinney,Minerals surveyor,Accounting,2020-10-15,shannon13@clark.com,110217.59,Bellevue
111,Mike,Brennan,Contractor,Finance,2020-08-10,robertestrada@hotmail.com,50254.83,Tacoma
112,Danielle,Howe,Management consultant,Audit,2023-08-17,princehaley@gmail.com,71314.15,Bellevue
113,Anthony,Burke,Phytotherapist,Marketing,2017-04-12,kleonard@gmail.com,133270.6,Bellevue
114,Christian,Mclaughlin,Water quality scientist,Sales,2024-02-27,gbarry@yahoo.com,88892.72,Tacoma
115,Jasmine,Rodriguez,Chief Operating Officer,Accounting,2019-02-27,jessicathompson@gmail.com,116769.05,Bellevue
116,Crystal,Patrick,Curator,Marketing,2024-06-03,mayorobert@gmail.com,138489.43,Bellevue
117,Lauren,Lam,Call centre manager,Finance,2019-07-19,sloanjason@hotmail.com,97417.65,Kirkland
118,Brittany,Barrera,Intelligence analyst,IT,2024-04-08,cruzrachel@gmail.com,80350.47,Kirkland
119,Jacob,Fisher,Midwife,Sales,2021-07-21,zrobertson@hernandez-guerra.net,134062.92,Redmond
120,Crystal,Garcia,"Engineer, materials",HR,2024-09-16,anthony32@yahoo.com,132468.78,Tacoma
121,Christopher,Brown,Camera operator,IT,2016-12-31,vclark@russo.org,136899.41,Redmond
122,Charles,Rhodes,Photographer,IT,2024-08-29,hmcneil@yahoo.com,116155.47,Tacoma
123,Lori,Long,Television floor manager,Marketing,2019-09-17,williampalmer@yahoo.com,94021.61,Redmond
124,Justin,Melton,Professor Emeritus,HR,2019-09-13,nicholas97@oconnor.org,50570.83,Tacoma
125,Oscar,Stewart,Adult guidance worker,Accounting,2024-04-04,david21@yahoo.com,58332.83,Tacoma
126,Gina,Mccullough,"Pharmacist, hospital",Legal,2021-02-27,rebecca04@hotmail.com,141706.17,Tacoma
127,Brian,Clark,Barrister's clerk,HR,2019-06-24,pchristensen@yahoo.com,89676.25,Seattle
128,Rebecca,Collins,Tax adviser,Accounting,2018-12-04,mackenziemorgan@goodwin-bridges.com,50262.0,Tacoma
129,Tom,Barrett,Petroleum engineer,Sales,2015-12-05,katienelson@gmail.com,51387.42,Redmond
130,Jon,Hull,Geophysicist/field seismologist,Accounting,2018-12-29,rrussell@hotmail.com,102124.45,Bellevue
131,Jennifer,Villarreal,Water quality scientist,Sales,2018-10-02,alexandra37@yahoo.com,148241.27,Bellevue
132,Larry,Bryant,"Surveyor, quantity",Sales,2015-05-12,deborah64@rivera-torres.biz,69408.34,Bellevue
133,Tanya,Reed,Advice worker,IT,2018-06-27,francisco02@johnson.biz,147526.77,Redmond
134,Anita,Arnold,"Scientist, audiological",Legal,2019-10-11,jenningssamantha@miller.net,121854.5,Kirkland
135,Brooke,Torres,"Engineer, land",Marketing,2021-02-20,thomaschristopher@brown.org,136818.57,Kirkland
136,Nicole,Golden,Radiation protection practitioner,Accounting,2021-09-14,imckinney@robinson.com,87857.74,Redmond
137,Krista,Kelly,"Engineer, communications",HR,2015-09-21,nsmith@duarte.com,93121.54,Seattle
138,Deborah,Ryan,Secondary school teacher,Accounting,2021-05-21,michael66@yahoo.com,75564.67,Seattle
139,Mary,Norton,Advertising art director,HR,2024-01-18,mhill@larson-baird.com,74979.68,Tacoma
140,Glenn,Hoover,Politician's assistant,Legal,2023-03-29,michaelsingleton@chavez-hunt.com,97139.95,Redmond
141,Paul,Dominguez,Claims inspector/assessor,Legal,2015-07-16,powellmichael@hotmail.com,135020.74,Tacoma
142,Alan,West,"Solicitor, Scotland",Marketing,2019-01-14,xwilliams@weeks.com,136774.76,Bellevue
143,Amber,Johnson,"Scientist, clinical (histocompatibility and immunogenetics)",Accounting,2015-03-08,mhicks@zamora-donovan.info,94730.88,Kirkland
