UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary
E0001,Cardoso,P,Luiz Otávio,M,Quality Control Specialist,Production,02/17/2016,03/11/2021,83317.00
E0002,Moraes,F,Natália,F,IT Support Specialist,IT,09/03/2021,,58965.00
E0003,Fogaça,I,Juan,F,Sales Representative,Sales,03/23/2000,,61956.00
E0004,da Conceição,V,Isabella,F,Chief Marketing Officer,Executive,08/03/1989,07/31/2015,86226.00
E0005,Teixeira,H,Kaique,F,IT Support Specialist,IT,04/16/2007,,90809.00
E0006,Ribeiro,C,Matheus,M,Quality Control Specialist,Production,07/02/2019,,110621.00
E0007,Duarte,W,Larissa,F,IT Support Specialist,IT,06/04/1980,06/22/1992,54600.00
E0008,Almeida,K,João Lucas,M,Office Manager,Administrative,07/16/2020,,90266.00
E0009,Cunha,U,Ana Beatriz,M,Logistics Coordinator,Logistics,06/10/1974,,33983.00
E0010,Nogueira,K,Lorenzo,F,Logistics Coordinator,Logistics,08/09/1984,11/24/2004,35044.00
E0011,Campos,H,Lívia,F,Production Technician,Production,08/01/1964,,61850.00
E0012,Duarte,R,Davi Luiz,F,Sales Representative,Sales,11/02/2002,,61790.00
E0013,Pires,F,Carlos Eduardo,F,Research Scientist,R&D,04/12/1964,,76170.00
E0014,Melo,S,Luigi,M,Marketing Coordinator,Marketing,09/04/2020,06/28/2022,48999.00
E0015,Azevedo,R,Pedro Lucas,F,Logistics Coordinator,Logistics,06/25/1986,,66873.00
E0016,Santos,X,Theo,M,Product Developer,R&D,07/18/2008,,94593.00
E0017,Costa,V,Luiz Otávio,M,Production Technician,Production,09/18/2015,04/04/2019,73035.00
E0018,Porto,G,Vitor Gabriel,M,Sales Representative,Sales,07/17/1970,03/01/2021,34468.00
E0019,Sales,T,Marcela,F,Product Developer,R&D,12/27/1992,12/04/2021,96230.00
E0020,Jesus,E,Eduarda,F,Chief Marketing Officer,Executive,04/14/2023,12/30/2023,72348.00
E0021,Nunes,W,Emanuella,M,Chief Marketing Officer,Executive,11/08/2001,,50671.00
E0022,Viana,Q,Larissa,F,Office Manager,Administrative,12/16/1961,,51030.00
E0023,Caldeira,A,Raquel,M,Sales Representative,Sales,06/30/2015,,107030.00
E0024,Melo,P,Maitê,M,Office Manager,Administrative,10/21/1991,10/06/1998,88052.00
E0025,Farias,Y,Isabella,F,Quality Control Specialist,Production,11/01/1982,09/02/2014,64943.00
E0026,das Neves,S,Ryan,F,Logistics Coordinator,Logistics,07/22/2015,,32133.00
E0027,Novaes,J,Vitor Gabriel,F,Quality Control Specialist,Production,09/01/1979,,105468.00
E0028,Alves,R,Heloísa,M,Product Developer,R&D,12/25/1978,08/11/1979,93330.00
E0029,Cardoso,Z,Bryan,M,Marketing Coordinator,Marketing,09/14/2018,,102156.00
E0030,Jesus,E,Arthur,F,Chief Financial Officer,Executive,11/21/1977,12/22/2017,43159.00
E0031,Souza,E,Emanuelly,F,Logistics Coordinator,Logistics,02/18/1987,02/27/1988,61997.00
E0032,Caldeira,L,Benjamin,M,HR Specialist,Human Resources,06/23/2003,03/16/2015,76513.00
E0033,Fogaça,E,Lucas Gabriel,M,Quality Control Specialist,Production,10/30/1974,04/23/2005,47701.00
E0034,Azevedo,N,Ana Luiza,F,IT Support Specialist,IT,05/30/1987,03/23/2002,76070.00
E0035,da Cruz,I,Sophia,F,Customer Service Representative,Customer Service,03/26/1968,05/08/1998,82623.00
E0036,Barbosa,I,Gabrielly,F,Marketing Coordinator,Marketing,06/25/2002,,90042.00
E0037,da Mota,C,Alana,M,Chief Executive Officer,Executive,10/05/1954,04/02/2007,80432.00
E0038,Pereira,F,Lívia,F,IT Support Specialist,IT,03/22/1955,,75653.00
E0039,Teixeira,Z,Emanuella,M,Logistics Coordinator,Logistics,12/04/1986,04/18/2008,52230.00
E0040,Barbosa,V,Pedro Miguel,M,Chief Executive Officer,Executive,05/08/2002,,96913.00
E0041,Souza,F,Joaquim,F,Sales Representative,Sales,05/28/1959,,116383.00
E0042,Cavalcanti,R,Breno,F,IT Support Specialist,IT,04/27/1956,10/27/2021,48698.00
E0043,da Cunha,T,Erick,F,Logistics Coordinator,Logistics,03/25/1971,11/10/1982,80366.00
E0044,Correia,P,Calebe,F,Research Scientist,R&D,01/04/1984,10/09/1992,37960.00
E0045,Gomes,D,Mirella,F,Customer Service Representative,Customer Service,04/12/1973,06/13/2000,59322.00
E0046,Silveira,P,Vitor Hugo,M,Research Scientist,R&D,02/10/1955,01/14/1989,68552.00
E0047,Cardoso,I,Davi Luiz,M,Marketing Coordinator,Marketing,04/20/1988,,105274.00
E0048,Cardoso,T,Kaique,F,Chief Financial Officer,Executive,08/10/2001,03/21/2014,69666.00
E0049,Ribeiro,I,João Lucas,F,Research Scientist,R&D,07/23/1964,,81156.00
E0050,da Rocha,N,Bárbara,M,Quality Control Specialist,Production,02/18/1985,,85952.00
E0051,Correia,L,Ana Sophia,F,Logistics Coordinator,Logistics,11/05/1965,,30241.00
E0052,Alves,D,Milena,M,IT Support Specialist,IT,11/18/1999,02/26/2021,104335.00
E0053,da Mota,D,Ana Vitória,M,Research Scientist,R&D,03/26/1978,10/24/1996,87907.00
E0054,Santos,V,Felipe,M,Marketing Coordinator,Marketing,06/03/1988,05/13/1998,90784.00
E0055,Souza,R,Luiz Felipe,F,Research Scientist,R&D,03/29/2003,04/10/2014,34195.00
E0056,da Rocha,V,Pedro Lucas,M,Product Developer,R&D,02/03/1967,06/11/1981,32882.00
E0057,da Luz,D,Ana Júlia,F,Production Technician,Production,08/07/1998,,79013.00
E0058,da Mata,B,Pietra,F,Production Technician,Production,07/06/1962,,66625.00
E0059,Cavalcanti,U,Mariane,F,Chief Financial Officer,Executive,12/10/2009,,92051.00
E0060,Barbosa,W,Lara,M,Product Developer,R&D,10/10/2014,02/14/2018,43269.00
E0061,da Paz,E,Bernardo,F,Logistics Coordinator,Logistics,09/02/1983,,39560.00
E0062,Moreira,L,Sophia,F,Research Scientist,R&D,05/24/1961,,119599.00
E0063,Pereira,K,Cauã,M,Production Technician,Production,11/30/1969,,53560.00
E0064,Pinto,V,Valentina,M,Production Technician,Production,07/06/1993,,83152.00
E0065,Rezende,K,Diogo,M,Customer Service Representative,Customer Service,08/09/1972,12/20/1990,32700.00
E0066,Lima,P,Heloísa,M,Sales Representative,Sales,01/12/1962,,88718.00
E0067,Vieira,K,Davi Lucca,F,Research Scientist,R&D,02/23/1974,09/26/1974,52408.00
E0068,Viana,W,Maria Fernanda,M,HR Specialist,Human Resources,05/17/1970,,63856.00
E0069,Farias,R,Ana,F,Production Technician,Production,05/06/1957,,71470.00
E0070,Costela,K,Yasmin,M,Marketing Coordinator,Marketing,12/11/2017,,81510.00
E0071,Vieira,W,Ana Beatriz,F,Marketing Coordinator,Marketing,10/10/2008,10/02/2014,106065.00
