UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,TerminationDate
1,Smith,A,J, male,Software Engineer,IT,23/06/2021,
2,Doe,NA,Jane,female,Data Analyst,Marketing,15/08/2020,
3,Brown,C,R, male,Project Manager,Operations,01/10/2019,
4,Johnson,B,K,female,HR Specialist,Human Resources,12/04/2021,
5,Williams,D,NA,Michael,male,Sales Associate,Sales,03/01/2022,
6,Jones,E,L,female,Graphic Designer,Creative,17/05/2020,
7,García,F,J,NA,other,Customer Service Rep,Support,22/02/2023,
8,Miller,G,T,A,male,Product Owner,IT,09/11/2021,
9,Davis,H,NA,Laura,female,Finance Analyst,Finance,14/07/2020,
10,Rodriguez,I,K,NA,other,Web Developer,IT,27/03/2022,
11,Martínez,J,M,N,male,Network Engineer,IT,30/08/2019,
12,Hernández,K,A,S,female,Office Manager,Administration,11/05/2023,
13,Lopez,L,R,NA,other,Research Scientist,R&D,21/01/2020,
14,Gonzalez,M,T,C,male,Marketing Coordinator,Marketing,02/12/2022,
15,Wilson,N,A,Emily,female,Training Specialist,HR,14/02/2021,
16,Anderson,O,M,James,male,Sales Manager,Sales,06/06/2020,
17,Thomas,P,J,A,female,Software Tester,IT,19/10/2022,
18,Taylor,Q,N,NA,other,Product Marketing Manager,Marketing,16/01/2023,
19,Moore,R,S,C,male,Operations Manager,Operations,05/11/2018,
20,Jackson,S,A,L,female,Data Scientist,IT,18/03/2021,
21,Martin,T,B,A,male,Financial Analyst,Finance,24/04/2019,
22,Lee,U,J,NA,other,Content Writer,Creative,07/02/2022,
23,Perez,V,E,Victor,male,Recruiter,HR,13/12/2020,
24,Thompson,W,K,NA,female,Administrative Assistant,Administration,09/09/2021,
25,White,X,L,Rebecca,female,Event Planner,Marketing,15/01/2020,
26,Harris,Y,M,Daniel,male,IT Support Specialist,IT,28/07/2022,
27,Sanchez,Z,T,NA,other,Social Media Manager,Marketing,20/03/2021,
28,Clark,A,B,K,female,UX Designer,Creative,14/08/2020,
29,Ramirez,B,P,L,male,Compliance Officer,Legal,31/10/2022,
30,Lewis,C,H,M,female,Supply Chain Analyst,Operations,02/11/2019,
31,Robinson,D,Q,NA,other,Business Analyst,IT,17/05/2023,
32,Walker,E,J,O,male,SEO Specialist,Marketing,24/08/2021,
33,Hall,F,K,A,female,Data Engineer,IT,16/09/2020,
34,Allen,G,L,Chris,male,Technical Writer,IT,04/06/2022,
35,Yang,H,A,NA,other,Account Manager,Sales,21/04/2023,
36,Wright,I,D,S,female,Operations Analyst,Operations,30/05/2019,
37,King,J,A,C,male,Software Architect,IT,14/12/2020,
38,Scott,K,N,NA,female,Graphic Artist,Creative,22/02/2022,
39,Green,L,A,A,male,HR Manager,HR,01/03/2018,
40,Bailey,M,K,R,female,Network Administrator,IT,09/10/2021,
41,Adams,N,B,N,male,Product Designer,Creative,30/09/2022,
42,Baker,O,L,M,female,Field Sales Rep,Sales,05/01/2023,
43,Gonzalez,P,A,A,male,Database Administrator,IT,11/07/2020,
44,Nelson,Q,T,K,female,IT Manager,IT,12/03/2019,
45,Carter,R,H,L,male,Logistics Coordinator,Operations,22/05/2021,
46,Mitchell,S,D,NA,other,Quality Assurance,Operations,17/11/2022,
47,Perez,T,E,F,female,Financial Consultant,Finance,24/06/2023,
48,Roberts,U,P,J,male,Marketing Analyst,Marketing,13/01/2020,
49,Turner,V,K,T,female,Executive Assistant,Administration,05/05/2022,
50,Phillips,W,E,NA,male,Project Coordinator,Operations,19/09/2021,
51,Campbell,X,L,Y,female,SEO Analyst,Marketing,29/10/2020,
52,Mitchell,Y,A,K,male,Research Analyst,R&D,23/11/2023,
53,Evans,Z,B,A,female,Technical Support,IT,08/08/2020,
54,Edwards,A,K,L,male,Product Tester,R&D,12/04/2022,
55,Collins,B,T,C,female,UX Researcher,Creative,19/12/2021,
56,Stewart,C,H,NA,male,Sales Support,Sales,03/06/2021,
57,Flores,D,J,R,female,Web Designer,Creative,11/07/2019,
58,Reed,E,N,T,male,Data Analyst,Finance,20/05/2022,
59,Cooper,F,K,A,female,Customer Success Manager,Support,14/02/2023,
60,Richardson,G,L,S,male,Program Manager,Operations,16/08/2020,
61,Young,H,A,L,female,HR Generalist,HR,09/03/2021,
62,King,I,T,O,male,Sales Engineer,Sales,30/01/2022,
