First Name,Middle Initial,Last Name,Employee ID,Gender,Job Title,Department,Hire Date,Termination Date,Annual Salary
John,A,Doe,EMP-00123,Male,Essential Oil Specialist,Sales,2020-01-15,N/A,48000
Jane,B,Smith,EMP-00456,Female,Product Development Manager,Product,2019-03-22,N/A,60000
Michael,C,Brown,EMP-00789,Male,Quality Control Analyst,Operations,2018-07-10,N/A,55000
Emily,D,Johnson,EMP-00234,Female,Brand Marketing Coordinator,Marketing,2021-05-30,N/A,45000
David,E,Williams,EMP-00345,Male,Supply Chain Manager,Operations,2017-09-12,2022-08-15,62000
Sarah,F,Jones,EMP-00678,Female,Customer Experience Specialist,Support,2020-11-01,N/A,53000
Robert,G,Miller,EMP-00567,Male,HR Specialist,HR,2016-12-05,N/A,42000
Jessica,H,Davis,EMP-00901,Female,Sales Support Coordinator,Sales,2019-06-17,N/A,38000
Daniel,I,Garcia,EMP-00890,Male,Essential Oil Educator,Sales,2022-02-01,N/A,50000
Laura,J,Martinez,EMP-01234,Female,Financial Analyst,Finance,2018-10-20,N/A,60000
James,K,Hernandez,EMP-01456,Male,Digital Marketing Specialist,Marketing,2020-04-12,N/A,48000
Patricia,L,Lopez,EMP-01890,Female,Administrative Assistant,Admin,2021-01-15,N/A,25000
Charles,M,Gonzalez,EMP-02123,Male,Product Manager,Product,2019-07-30,N/A,65000
Linda,N,Wilson,EMP-01357,Female,Graphic Designer,Design,2021-03-25,N/A,43000
Thomas,O,Anderson,EMP-01987,Male,Compliance Officer,Operations,2018-08-10,N/A,55000
Jennifer,P,Thomas,EMP-01678,Female,Market Research Analyst,Marketing,2017-11-05,N/A,40000
Mark,Q,Taylor,EMP-02468,Male,Sales Executive,Sales,2021-06-15,N/A,52000
Susan,R,Moore,EMP-02789,Female,Content Writer,Marketing,2018-05-17,N/A,42000
Joseph,S,Jackson,EMP-02345,Male,Logistics Coordinator,Operations,2016-02-22,N/A,48000
Karen,T,Martin,EMP-02013,Female,Social Media Manager,Marketing,2019-04-11,N/A,60000
Steven,U,Lee,EMP-02690,Male,Production Supervisor,Operations,2022-03-02,N/A,45000
Nancy,V,Hall,EMP-02987,Female,Public Relations Specialist,Marketing,2021-08-30,N/A,47000
Andrew,W,Young,EMP-02234,Male,Warehouse Manager,Operations,2020-09-05,N/A,49000
Jessica,X,Allen,EMP-01112,Female,Customer Relations Manager,Sales,2019-12-01,N/A,52000
Brian,Y,Sanchez,EMP-01543,Male,Research and Development Analyst,Product,2021-10-10,N/A,60000
Kimberly,Z,Wright,EMP-02876,Female,Essential Oil Mixer,Production,2018-02-15,N/A,30000
Joshua,A,Brown,EMP-01012,Male,Inventory Specialist,Operations,2017-04-19,N/A,40000
Angela,B,Davis,EMP-01457,Female,Graphic Artist,Design,2021-11-14,N/A,43000
Ryan,C,Martinez,EMP-01789,Male,Sales Analyst,Sales,2016-01-22,N/A,50000
Brittany,D,Garcia,EMP-02541,Female,Event Coordinator,Marketing,2020-07-20,N/A,25000
Patrick,E,Wilson,EMP-02904,Male,Training Specialist,HR,2018-09-30,N/A,42000
Deborah,F,Anderson,EMP-00823,Female,IT Support Specialist,IT,2022-02-28,N/A,35000
Nicholas,G,Thompson,EMP-01856,Male,Chief Operations Officer,Operations,2015-05-15,N/A,95000
Lisa,H,Hernandez,EMP-02746,Female,Quality Assurance Specialist,Operations,2020-10-01,N/A,40000
Kevin,I,Lee,EMP-01468,Male,Sales Manager,Sales,2019-03-12,N/A,65000
Megan,J,Martin,EMP-01357,Female,Product Compliance Analyst,Product,2021-04-10,N/A,50000
Anthony,K,Robinson,EMP-02219,Male,Web Analyst,IT,2017-12-20,N/A,48000
Rachel,L,Clark,EMP-01678,Female,Executive Assistant,Admin,2020-08-30,N/A,30000
David,M,Wright,EMP-01567,Male,Customer Support Representative,Support,2019-11-11,N/A,35000
Michelle,N,Jackson,EMP-02124,Female,Operations Assistant,Operations,2021-06-20,N/A,25000
Edward,O,Thomas,EMP-00987,Male,Essential Oil Scientist,R&D,2016-04-25,N/A,80000
Laura,P,Harris,EMP-01478,Female,Client Relations Manager,Sales,2020-09-30,N/A,60000
Christopher,Q,Garcia,EMP-01790,Male,Marketing Director,Marketing,2018-01-15,N/A,80000
Samantha,R,Martinez,EMP-02468,Female,Data Entry Clerk,Admin,2022-05-20,N/A,25000
Paul,S,Wright,EMP-02034,Male,Network Administrator,IT,2017-03-12,N/A,48000
Angela,T,Young,EMP-02890,Female,Quality Control Technician,Operations,2021-07-15,N/A,35000
Daniel,U,Walker,EMP-01534,Male,Marketing Analyst,Marketing,2019-05-21,N/A,42000
Nancy,V,Hall,EMP-02349,Female,Training Coordinator,HR,2020-03-03,N/A,35000
Brian,W,Lee,EMP-01892,Male,Graphic Artist,Design,2021-05-03,N/A,43000
Angela,X,Roberts,EMP-02901,Female,Brand Manager,Marketing,2020-11-20,N/A,60000
Jeremy,Y,Adams,EMP-02543,Male,Product Designer,Product,2018-04-30,N/A,55000
Samantha,Z,Miller,EMP-01489,Female,Sales Support Specialist,Sales,2022-09-22,N/A,25000
Jack,A,Clark,EMP-02021,Male,Help Desk Technician,IT,2019-02-14,N/A,30000
Sophia,B,Roberts,EMP-01904,Female,Operations Supervisor,Operations,2021-05-28,N/A,55000
Charles,C,Harris,EMP-02145,Male,Data Engineer,IT,2016-07-30,N/A,60000
Victoria,D,Moore,EMP-01867,Female,Executive Director,Admin,2015-10-01,N/A,150000
Peter,E,Martinez,EMP-01532,Male,SEO Specialist,Marketing,2019-08-22,N/A,48000
Nancy,F,Brown,EMP-02956,Female,Business Analyst,Finance,2021-04-11,N/A,60000
Timothy,G,Thompson,EMP-02457,Male,Facilities Manager,Operations,2018-09-15,N/A,55000
Barbara,H,Johnson,EMP-01234,Female,IT Project Coordinator,IT,2020-12-01,N/A,40000
George,I,Smith,EMP-01089,Male,Account Manager,Sales,2016-11-05,N/A,60000
Emma,J,Williams,EMP-02234,Female,Data Quality Analyst,IT,2021-03-15,N/A,45000
Brian,K,Garcia,EMP-02890,Male,UX Researcher,Design,2019-02-01,N/A,43000
Amanda,L,Martinez,EMP-01987,Female,Finance Manager,Finance,2017-06-18,N/A,65000
Ronald,M,Hernandez,EMP-02567,Male,Customer Support Manager,Support,2022-01-14,N/A,50000
Ruth,N,Adams,EMP-01432,Female

