UniqueID,Last Name,Middle Initial,First Name,Gender,Department,Hire Date,Termination Date,Annual Salary
1,Souza,J,João,Male,Finance,15/01/2020,,60000
2,Santos,A,Maria,Female,Marketing,22/03/2019,,65000
3,Lima,K,Lucas,Other,IT,10/07/2021,,70000
4,Ribeiro,L,Ana,Female,HR,05/11/2018,,55000
5,Oliveira,M,Carlos,Male,Sales,18/05/2022,,62000
6,Silva,T,Pedro,Male,Finance,11/09/2020,,68000
7,Almeida,C,Juliana,Female,Marketing,15/04/2021,,63000
8,Costa,R,Renato,Male,IT,20/02/2019,,71000
9,Carvalho,P,Mariana,Female,HR,01/12/2020,,57000
10,Barbosa,S,Diego,Male,Sales,25/08/2018,,64000
11,Moreira,E,Lais,Female,Finance,30/03/2021,,69000
12,Teixeira,G,Felipe,Male,Marketing,17/06/2019,,62000
13,Ramos,Q,Aline,Female,IT,05/01/2022,,70000
14,Pereira,D,Tiago,Male,HR,24/07/2020,,58000
15,Martins,N,Rafaela,Female,Sales,15/09/2019,,61000
16,Freitas,O,André,Male,Finance,10/10/2020,,65000
17,Nascimento,B,Beatriz,Female,Marketing,25/11/2021,,64000
18,Gomes,D,Zoe,Female,IT,30/12/2019,,72000
19,Alves,E,Victor,Male,HR,18/04/2018,,58000
20,Fontes,F,Livia,Female,Sales,22/05/2020,,60000
21,Cunha,G,Nicolas,Male,Finance,14/02/2021,,67000
22,Henrique,H,Sofia,Female,Marketing,19/07/2019,,63000
23,Maciel,I,Mateus,Male,IT,09/03/2021,,71000
24,Assis,J,Camila,Female,HR,05/08/2018,,55000
25,Campos,K,Lucas,Male,Sales,11/06/2022,,62000
26,Lopes,L,Daniela,Female,Finance,17/09/2020,,68000
27,Marques,M,Aline,Female,Marketing,20/04/2021,,65000
28,Ribeiro,N,Gustavo,Male,IT,28/02/2019,,70000
29,Ferreira,O,Juliana,Female,HR,01/11/2020,,57000
30,Pinto,P,Nicolas,Male,Sales,15/09/2019,,64000
31,Cardoso,Q,Isabella,Female,Finance,12/07/2022,,69000
32,Cordeiro,R,Aline,Female,Marketing,28/01/2020,,65000
33,Teixeira,S,Rafael,Male,IT,30/10/2021,,73000
34,Silveira,T,Luan,Male,HR,18/07/2019,,55000
35,Almeida,U,Samantha,Female,Sales,09/12/2021,,60000
36,Freitas,V,João,Male,Finance,29/04/2020,,66000
37,Martins,W,Lara,Female,Marketing,01/01/2020,,65000
38,Alves,X,Felipe,Male,IT,20/09/2021,,71000
39,Gomes,Y,Rafaela,Female,HR,12/05/2022,,57000
40,Cunha,Z,Matheus,Male,Sales,22/11/2019,,64000
41,Souza,A,Thais,Female,Finance,09/04/2020,,68000
42,Santos,B,Caio,Male,Marketing,15/05/2021,,63000
43,Oliveira,C,Mariana,Female,IT,29/08/2022,,72000
44,Ribeiro,D,Aline,Female,HR,11/06/2018,,55000
45,Moreira,E,Gustavo,Male,Sales,11/12/2020,,61000
46,Teixeira,F,Lucas,Male,Finance,20/06/2021,,69000
47,Pereira,G,Bruna,Female,Marketing,17/03/2019,,64000
48,Campos,H,André,Male,IT,14/08/2020,,70000
49,Martins,I,Maria,Female,HR,30/11/2021,,57000
50,Ribeiro,J,Ricardo,Male,Sales,05/10/2020,,62000
51,Almeida,K,Natalia,Female,Finance,09/01/2022,,68000
52,Lima,L,João,Male,Marketing,14/11/2019,,65000
53,Santos,M,Evelyn,Female,IT,01/05/2021,,72000
54,Silva,N,Luan,Male,HR,30/12/2020,,58000
55,Costa,O,Sofia,Female,Sales,15/12/2019,,60000
56,Barbosa,P,Lucas,Male,Finance,18/03/2021,,69000
57,Nascimento,Q,Mila,Female,Marketing,30/07/2021,,64000
58,Freitas,R,Matheus,Male,IT,28/02/2019,,70000
59,Henrique,S,Emilly,Female,HR,01/10/2021,,58000
60,Alves,T,Nicolas,Male,Sales,13/09/2019,,64000
61,Fontes,U,Mariana,Female,Finance,18/03/2021,,69000
62,Cunha,V,Tiago,Male,Marketing,30/12/2020,,62000
63,Maciel,W,Karine,Female,IT,30/11/2021,,72000
64,Ribeiro,X,André,Male,HR,22/03/2018,,55000
65,Lima,Y,Juliana,Female,Sales,30/06/2021,,60000
66,Ribeiro,Z,Matheus,Male,Finance,12/12/2022,,68000
67,Souza,A,Bia,Female,Marketing,01/01/2020,,65000
68,Ramos,B,Bruno,Male,IT,20/09/2021,,71000
