UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,TerminationDate,AnnualSalary
1,Reis,U,Isabela,female,Sales Associate,Sales,02/10/2024,,4469
2,Souza,J,Maria Eduarda,other,Leaf Gatherer,Leaf Gathering,02/09/2024,,6986
3,Gomes,Q,Rodrigo,other,Marketing Specialist,Marketing,23/07/2024,,6813
4,Barros,K,Daniel,female,Marketing Specialist,Marketing,22/08/2024,,6892
5,Cardoso,A,Vinícius,male,Processor,Processing,12/08/2024,,6747
6,Moreira,L,Sarah,female,Sales Associate,Sales,04/10/2024,,3721
7,Souza,S,Letícia,female,Marketing Specialist,Marketing,24/07/2024,,6663
8,Lima,X,Beatriz,male,Leaf Gatherer,Leaf Gathering,20/05/2024,,3627
9,Pereira,N,Isabella,female,Sales Associate,Sales,23/06/2024,,4755
10,Rodrigues,I,Breno,female,Processor,Processing,03/07/2024,,6838
11,Pereira,X,Henrique,female,Leaf Gatherer,Leaf Gathering,03/05/2024,,5642
12,Correia,U,Laura,female,Sales Associate,Sales,23/08/2024,,3308
13,Ribeiro,M,Sarah,female,Processor,Processing,29/04/2024,,6572
14,Teixeira,F,Rodrigo,female,Marketing Specialist,Marketing,25/07/2024,15/09/2024,6720
15,Coelho,A,Gabriel,male,Sales Associate,Sales,23/04/2024,,3300
16,Carvalho,Z,Giulia,male,Sales Associate,Sales,04/09/2024,,5505
17,Costa,F,Daniel,male,Sales Associate,Sales,24/09/2024,,6116
18,Sousa,P,Giulia,female,Processor,Processing,09/10/2024,,3200
19,Fernandes,A,Thiago,other,Processor,Processing,05/06/2024,,6996
20,Cardoso,A,Ana Julia,male,Processor,Processing,14/09/2024,,6728
21,Correia,I,Bernardo,female,Processor,Processing,22/06/2024,,5153
22,Carvalho,D,Daniel,female,Sales Associate,Sales,02/06/2024,,5770
23,Rodrigues,X,Ana Julia,male,Marketing Specialist,Marketing,04/10/2024,,4255
24,Gomes,O,Felipe,other,Marketing Specialist,Marketing,16/08/2024,,5254
25,Ribeiro,P,Ana,other,Marketing Specialist,Marketing,29/07/2024,,3036
26,Souza,K,Letícia,male,Sales Associate,Sales,10/06/2024,,3654
27,Neves,M,Aline,other,Processor,Processing,20/07/2024,,6366
28,Silva,R,Sofia,female,Leaf Gatherer,Leaf Gathering,09/05/2024,,4981
29,Melo,K,Sarah,other,Marketing Specialist,Marketing,27/04/2024,,6917
30,Johnson,R,Emily,other,Processor,Processing,14/10/2024,,96417
31,Costa,X,Leonardo,female,Processor,Processing,18/06/2024,,3465
32,Gomes,S,Ricardo,other,Sales Associate,Sales,20/05/2024,,5501
33,Smith,K,Jessica,female,Sales Associate,Sales,30/05/2024,,163891
34,Coelho,Z,Vitória,female,Processor,Processing,08/08/2024,,3938
35,Brown,P,Emily,female,Marketing Specialist,Marketing,23/07/2024,16/08/2024,193720
36,Garcia,E,Rodrigo,male,Leaf Gatherer,Leaf Gathering,21/08/2024,,4674
37,Rodrigues,T,Laura,other,Sales Associate,Sales,19/07/2024,,5087
38,Coelho,Z,Matheus,female,Processor,Processing,29/04/2024,,4573
39,Carvalho,I,Ana Carolina,male,Processor,Processing,14/07/2024,,3185
40,Pereira,Y,Isabella,female,Leaf Gatherer,Leaf Gathering,07/08/2024,23/09/2024,4376
41,Almeida,X,Melissa,other,Marketing Specialist,Marketing,15/06/2024,,6637
42,Teixeira,D,Eduardo,female,Processor,Processing,12/06/2024,,6559
43,Carvalho,W,Ana Carolina,other,Sales Associate,Sales,11/09/2024,,5791
44,Almeida,F,Rodrigo,other,Marketing Specialist,Marketing,29/08/2024,,5523
45,Garcia,S,Rafael,male,Processor,Processing,19/06/2024,,5406
46,Coelho,P,Amanda,male,Processor,Processing,05/06/2024,,5124
47,Carvalho,S,Rafael,other,Marketing Specialist,Marketing,06/09/2024,,4833
48,Melo,I,Thiago,male,Processor,Processing,12/09/2024,,4165
49,Dias,A,Vitória,other,Leaf Gatherer,Leaf Gathering,01/05/2024,,5671
50,Barros,J,Leonardo,female,Leaf Gatherer,Leaf Gathering,16/09/2024,,3595
51,Neves,R,Guilherme,female,Processor,Processing,16/06/2024,,5046
52,Oliveira,G,Gustavo,female,Marketing Specialist,Marketing,01/10/2024,13/10/2024,3986
53,Reis,B,Isabela,other,Leaf Gatherer,Leaf Gathering,27/05/2024,,5893
54,Martins,Y,André,female,Leaf Gatherer,Leaf Gathering,26/07/2024,,5532
55,Silva,F,Beatriz,other,Leaf Gatherer,Leaf Gathering,11/10/2024,,4473
56,Sousa,W,Igor,other,Leaf Gatherer,Leaf Gathering,26/08/2024,,3213
57,Garcia,F,Felipe,female,Processor,Processing,31/08/2024,,4040
58,Gomes,I,Rafael,other,Leaf Gatherer,Leaf Gathering,24/09/2024,,6589
59,Rocha,U,Luana,male,Processor,Processing,09/10/2024,,5234
60,Reis,A,Thiago,other,Processor,Processing,03/07/2024,,5626
61,Coelho,S,Ana,other,Leaf Gatherer,Leaf Gathering,27/08/2024,,6458
62,Correia,C,Isadora,male,Processor,Processing,21/05/2024,,3359
63,Rocha,V,Luiz,male,Marketing Specialist,Marketing,15/07/2024,,6241
64,Rocha,K,Yasmin,other,Sales Associate,Sales,31/08/2024,,3012
65,Oliveira,L,Pedro Henrique,female,Marketing Specialist,Marketing,30/04/2024,,6468
66,Ferreira,J,Enzo,male,Processor,Processing,05/09/2024,,6147
67,Lima,Q,Henrique,other,Marketing Specialist,Marketing,27/07/2024,,6623
68,Rocha,R,Matheus,male,Sales Associate,Sales,05/07/2024,,4680
69,Oliveira,N,Ana Luiza,female,Leaf Gatherer,Leaf Gathering,19/05/2024,,3927
70,Correia,M,Enzo,male,Processor,Processing,14/07/2024,,5275
71,Teixeira,L,Bernardo,other,Leaf Gatherer,Leaf Gathering,27/05/2024,,5012
72,Carvalho,K,Helena,other,Sales Associate,Sales,04/07/2024,,6134
73,Carvalho,F,Eduardo,female,Marketing Specialist,Marketing,30/08/2024,,3672
74,Reis,X,Guilherme,female,Sales Associate,Sales,25/06/2024,,5560
75,Brown,Y,Michael,female,Sales Associate,Sales,29/06/2024,,108325
76,Ferreira,J,Emilly,other,Marketing Specialist,Marketing,14/09/2024,,5810
77,Melo,R,Paulo,male,Marketing Specialist,Marketing,15/09/2024,,5074
78,Santos,W,Luana,male,Marketing Specialist,Marketing,16/10/2024,,4800
79,Silva,H,Leonardo,male,Leaf Gatherer,Leaf Gathering,29/05/2024,,4670
80,Melo,H,Lucas,male,Processor,Processing,08/07/2024,,5023
81,Lima,C,Gabriel,other,Marketing Specialist,Marketing,14/09/2024,,6244
82,Ribeiro,A,Isadora,male,Processor,Processing,25/05/2024,,3482
83,Castro,G,Guilherme,female,Sales Associate,Sales,04/08/2024,,5941
84,Silva,A,Helena,male,Leaf Gatherer,Leaf Gathering,11/10/2024,,3535
85,Barros,K,Leonardo,female,Marketing Specialist,Marketing,20/06/2024,,4436
86,Oliveira,V,Bruno,other,Sales Associate,Sales,01/07/2024,,5905
87,Castro,Z,Daniel,male,Leaf Gatherer,Leaf Gathering,05/06/2024,09/07/2024,6130
88,Gomes,S,Daniel,female,Sales Associate,Sales,17/05/2024,,3994
89,Sousa,G,Vitória,female,Marketing Specialist,Marketing,23/06/2024,14/09/2024,6656
90,Melo,J,Isabella,male,Leaf Gatherer,Leaf Gathering,22/06/2024,,5131
91,Cardoso,Z,André,other,Marketing Specialist,Marketing,17/08/2024,,6871
92,Oliveira,D,Júlia,other,Processor,Processing,29/08/2024,,3272
93,Rocha,X,Aline,female,Sales Associate,Sales,18/09/2024,,4524
94,Lima,Z,Pedro Henrique,male,Processor,Processing,29/04/2024,,4571
95,Reis,D,Evelyn,male,Marketing Specialist,Marketing,08/07/2024,,3391
96,Ribeiro,J,Isabela,female,Marketing Specialist,Marketing,22/08/2024,,3615
97,Reis,T,Matheus,female,Sales Associate,Sales,29/05/2024,,5352
98,Rodrigues,V,Eduardo,other,Processor,Processing,25/09/2024,,3633
99,Alves,W,Vinícius,other,Marketing Specialist,Marketing,02/08/2024,,4245
100,Almeida,R,Gustavo,male,Processor,Processing,28/07/2024,,4185
101,Alves,W,Letícia,female,Leaf Gatherer,Leaf Gathering,26/06/2024,,6439
102,Reis,O,Marcelo,other,Marketing Specialist,Marketing,13/08/2024,,4865
103,Almeida,I,Rodrigo,other,Sales Associate,Sales,02/06/2024,,5898
104,Clark,L,Jessica,other,Sales Associate,Sales,03/08/2024,,211429
105,Melo,A,Daniel,female,Marketing Specialist,Marketing,04/09/2024,,5350
106,Silva,C,Daniel,male,Processor,Processing,08/07/2024,04/10/2024,4632
107,Fernandes,E,Letícia,other,Sales Associate,Sales,11/06/2024,,5848
108,Garcia,Z,Bernardo,other,Sales Associate,Sales,26/04/2024,,4928
109,Oliveira,G,Sofia,female,Sales Associate,Sales,07/06/2024,,4145
110,Castro,B,Letícia,other,Processor,Processing,30/09/2024,,5704
