UniqueID,LastName,FirstName,JobTitle,Department,HireDate,LastPromotionDate,TerminationDate,AnnualSalary
PO-100001,Swindler,Skylar,CEO,Executive,2021-01-01,,,250000
PO-100002,Patel,Peyton,Assistant,Marketing,2024-12-08,2025-07-23,,147817
PO-100003,Young,Alex,Technician,IT,2023-08-21,,,76073
PO-100004,Baker,Sky,Specialist,Sales,2023-02-25,,,86402
PO-100005,Allen,Jordan,Technician,Operations,2024-05-22,2025-01-31,,70100
PO-100006,Garcia,Jesse,Engineer,Sales,2022-06-28,2025-07-21,,62712
PO-100007,Baker,Drew,Technician,IT,2022-10-23,2024-02-13,,98189
PO-100008,Wright,Dakota,Supervisor,Finance,2024-08-26,2024-09-09,,145092
PO-100009,Rivera,Avery,Specialist,Quality,2022-02-06,2025-02-13,2023-08-23,113581
PO-100010,Baker,Morgan,Engineer,Logistics,2021-06-13,2021-12-30,,79331
PO-100011,Johnson,Peyton,Manager,HR,2021-03-25,2022-08-19,,149448
PO-100012,Scott,Logan,Consultant,Sales,2023-04-07,2023-10-27,,111567
PO-100013,Adams,Sky,Manager,HR,2024-09-28,,,138066
PO-100014,Hall,Avery,Specialist,Logistics,2024-02-29,2025-07-26,,91066
PO-100015,Wright,Jesse,Assistant,Research,2023-02-28,2025-01-29,,112571
PO-100016,Allen,Emerson,Technician,Operations,2024-05-25,2024-08-20,,49347
PO-100017,Patel,Dakota,Specialist,Marketing,2022-01-22,2025-09-05,,120676
PO-100018,Smith,Cameron,Engineer,Production,2024-01-17,,,78592
PO-100019,Garcia,Taylor,Technician,Logistics,2024-06-02,,,109411
PO-100020,Allen,Jordan,Supervisor,IT,2022-03-23,2023-03-19,,67608
PO-100021,Brown,Emerson,Engineer,Logistics,2024-11-28,2025-06-02,,107080
PO-100022,Scott,Avery,Manager,Marketing,2023-03-12,2023-10-17,,58835
PO-100023,Nelson,Morgan,Analyst,Logistics,2022-01-04,2025-04-15,,86521
PO-100024,Smith,Sawyer,Manager,Finance,2022-09-22,2023-11-07,,53955
PO-100025,Kim,Hayden,Analyst,Operations,2023-09-18,,,108199
PO-100026,Garcia,Cameron,Assistant,Production,2022-04-02,2025-08-26,,123470
PO-100027,Rivera,Avery,Manager,HR,2024-07-26,,,63546
PO-100028,Patel,Morgan,Director,Finance,2022-10-13,,,135011
PO-100029,Walker,Quinn,Specialist,Research,2023-03-03,2023-06-09,,116361
PO-100030,Adams,Riley,Assistant,Production,2024-12-28,,,115166
PO-100031,Allen,Sky,Specialist,Operations,2023-03-31,,,112850
PO-100032,Hall,Jordan,Specialist,Research,2021-03-24,2022-01-14,,137761
PO-100033,Lee,Jordan,Supervisor,Research,2024-08-21,2025-06-26,,111429
PO-100034,Wright,Cameron,Engineer,Logistics,2021-09-27,,,93941
PO-100035,Allen,Quinn,Engineer,Production,2022-06-12,2023-09-18,,119308
PO-100036,Nguyen,Jesse,Coordinator,Quality,2024-02-03,2025-09-01,,101759
PO-100037,Patel,Peyton,Analyst,Logistics,2022-07-15,2023-06-24,,89242
PO-100038,Nguyen,Logan,Coordinator,IT,2024-01-02,2024-06-05,,127209
PO-100039,Brown,Dakota,Technician,Production,2024-08-28,2024-09-16,,51922
PO-100040,Allen,Hayden,Manager,Sales,2021-10-22,2022-10-04,,76468
PO-100041,Allen,Cameron,Specialist,Logistics,2024-06-09,2025-08-11,,52783
PO-100042,Wright,Riley,Coordinator,IT,2024-07-27,,,138160
PO-100043,Wright,Emerson,Coordinator,Logistics,2024-11-15,2025-01-27,2025-08-24,135198
PO-100044,Baker,Riley,Manager,Logistics,2023-07-28,2025-02-20,,120694
PO-100045,Lee,Dakota,Coordinator,IT,2022-03-24,2024-06-17,,129314
PO-100046,Garcia,Riley,Analyst,Operations,2024-10-02,,,102773
PO-100047,Young,Sawyer,Consultant,IT,2024-01-03,,,149591
PO-100048,Johnson,Dakota,Specialist,Finance,2023-07-25,2025-04-28,,69827
PO-100049,Green,Peyton,Director,Research,2021-12-01,2023-06-08,2025-07-21,52502
PO-100050,Hall,Taylor,Supervisor,Research,2022-08-03,2024-04-09,,77944
PO-100051,Scott,Jesse,Assistant,IT,2023-06-03,2024-12-02,,69575
PO-100052,Baker,Avery,Assistant,Production,2023-01-29,2024-09-20,,70321
PO-100053,Kim,Alex,Manager,Finance,2021-12-26,2023-05-11,2025-03-03,84993
PO-100054,Adams,Jesse,Engineer,IT,2022-10-23,2023-04-02,,122939
PO-100055,Scott,Casey,Analyst,Production,2024-08-19,2025-03-03,2025-08-23,149426
PO-100056,Lee,Emerson,Coordinator,Marketing,2021-11-29,2023-08-13,,134443
PO-100057,Johnson,Drew,Director,Quality,2021-06-17,2021-12-31,,94086
PO-100058,Nelson,Jordan,Analyst,HR,2022-09-21,2024-04-28,,55743
PO-100059,Green,Alex,Director,Research,2022-04-06,2024-09-16,2022-06-23,126075
PO-100060,Nguyen,Sawyer,Technician,Finance,2023-08-02,2023-10-13,,140116
PO-100061,Kim,Cameron,Engineer,Quality,2023-06-07,2025-09-14,,117123
PO-100062,Rivera,Avery,Specialist,Quality,2022-09-23,,,54215
PO-100063,Brown,Riley,Analyst,Logistics,2023-03-07,2025-02-20,,99094
PO-100064,Kim,Avery,Technician,Sales,2021-05-16,,,104821
PO-100065,Kim,Dakota,Manager,Operations,2023-01-10,2023-11-20,,125050
PO-100066,King,Emerson,Manager,HR,2022-12-24,2023-12-13,,113912
PO-100067,Nelson,Casey,Consultant,HR,2023-09-20,2024-05-24,,59922
PO-100068,Lee,Drew,Director,Finance,2024-04-04,,,79085
PO-100069,Allen,Sawyer,Technician,IT,2023-07-25,2025-09-27,,149514
PO-100070,Adams,Avery,Analyst,Marketing,2024-11-29,,,51612
PO-100071,Nguyen,Cameron,Analyst,Quality,2023-07-19,2025-04-19,,101054
PO-100072,Scott,Logan,Director,Operations,2024-08-15,,,88821
PO-100073,Walker,Cameron,Specialist,IT,2021-07-12,,,147084
PO-100074,Patel,Alex,Director,IT,2023-12-31,2024-07-27,,108395
PO-100075,Scott,Casey,Engineer,HR,2023-06-08,2025-03-11,,51207
PO-100076,Smith,Emerson,Assistant,Quality,2021-05-24,2023-06-29,,135635
PO-100077,Allen,Sky,Technician,Sales,2022-02-22,2022-10-24,,76177
PO-100078,Adams,Drew,Specialist,Operations,2023-12-31,2024-05-04,,78375
PO-100079,Scott,Jordan,Specialist,Logistics,2022-07-04,,,59317
PO-100080,Allen,Avery,Analyst,Logistics,2024-03-16,2024-04-17,,63270
PO-100081,Nguyen,Casey,Assistant,Logistics,2022-03-01,,,110207
PO-100082,Kim,Riley,Coordinator,HR,2021-04-08,,,133886
PO-100083,Nelson,Jamie,Manager,Sales,2022-10-02,2024-07-01,,45927
PO-100084,Adams,Alex,Coordinator,HR,2024-03-17,,,83920
PO-100085,Brown,Alex,Director,Marketing,2023-07-27,2024-10-05,,98492
PO-100086,Walker,Casey,Analyst,Marketing,2022-12-25,2024-04-02,,129731
PO-100087,Johnson,Quinn,Assistant,Operations,2021-11-05,2023-11-23,,67205
PO-100088,King,Taylor,Coordinator,Sales,2023-05-11,2025-09-21,2024-10-11,77259
PO-100089,Baker,Jamie,Supervisor,Finance,2023-09-29,2024-07-28,,95381
PO-100090,Adams,Jordan,Coordinator,Research,2022-11-16,,,58662
PO-100091,Adams,Dakota,Consultant,HR,2022-09-28,,,114245
PO-100092,Lee,Cameron,Consultant,Quality,2024-10-16,2024-11-05,,93443
PO-100093,Adams,Peyton,Analyst,Quality,2021-11-03,,,88652
PO-100094,Brown,Casey,Director,Marketing,2024-10-04,2025-05-10,,77108
PO-100095,Adams,Riley,Consultant,Research,2023-07-28,,,91423
PO-100096,Kim,Logan,Assistant,Research,2022-08-14,2024-09-17,,53728
PO-100097,Green,Dakota,Manager,Marketing,2021-09-01,2021-11-26,2025-02-20,53401
PO-100098,Hall,Avery,Manager,Production,2021-11-03,2025-08-18,,135932
PO-100099,Brown,Emerson,Manager,Quality,2021-01-16,2023-07-01,,64335
PO-100100,Nelson,Sawyer,Director,IT,2023-01-06,2025-02-23,2024-08-22,77221
PO-100101,Nelson,Jesse,Engineer,Production,2022-07-25,,,52133
PO-100102,Young,Jesse,Manager,Operations,2023-02-12,,,116524
PO-100103,Allen,Harper,Technician,Research,2022-02-12,,,123131
PO-100104,Rivera,Taylor,Analyst,Operations,2021-12-19,2022-12-03,,93432
PO-100105,Nguyen,Morgan,Consultant,Sales,2024-01-21,2024-10-19,,48271
PO-100106,Kim,Dakota,Engineer,Quality,2021-01-14,2022-04-21,,92466
PO-100107,Lee,Hayden,Director,Finance,2021-10-05,2024-07-17,,45479
PO-100108,Rivera,Alex,Consultant,Production,2024-01-06,,,97622
PO-100109,King,Logan,Supervisor,Sales,2022-10-24,,,61814
PO-100110,Nguyen,Sky,Director,IT,2021-07-18,2021-09-22,,91869
