Country,NumericCode,Week/MonthNumber,Period,FirstName,LastName
JAP,1080,19,M,Carl,Rodriguez
AUS,1241,21,M,Anne,Wright
AUS,1297,21,M,Patrick,Rivera
GER,1332,21,W,Ruby,Walker
GER,1202,10,M,Teresita,Guillen
ARG,1028,20,M,Earl,Morgan
CAN,1344,19,W,Joella,Causey
JAP,1248,24,W,Gregg,Kelly
ARG,1279,10,W,William,Reed
ENG,1198,23,W,Julia,Johnson
AUS,1435,21,M,Tonya,Ruiz
ARG,1094,14,M,Wayne,Howard
USA,1218,17,M,Samuel,Goodman
CAN,1537,22,W,Sean,Morgan
USA,1363,11,W,Julie,Johnson
MEX,1233,24,M,Samuel,Perry
ENG,1086,22,M,Jarrod,Beckett
CAN,1051,14,W,Lillian,Nelson
ARG,1072,11,W,Delfina,Brandon
ENG,1113,11,W,Shaun,Jacobs
MEX,1460,26,W,Theresa,Barnes
ENG,1020,25,W,Stephen,Powell
AUS,1175,11,W,Queenie,Thibodeau
AUS,1553,19,W,Juan,King
AUS,1011,16,M,Laureen,Varney
ENG,1316,11,M,Anthony,Griffin
ARG,1357,18,W,Olga,Rowe
GER,1091,24,M,Alyce,Rafferty
JAP,1178,21,M,Janella,Lacey
ARG,1224,22,M,Lyndsay,Landry
CAN,1120,20,M,Elvina,Dickens
ENG,1189,21,W,Lois,Flores
MEX,1546,22,M,Gonzalo,Rigby
ARG,1441,12,W,John,Parker
USA,1295,23,W,Olive,Romero
ARG,1228,22,M,Emmitt,Valles
GER,1005,22,M,Vernia,Mccrary
AUS,1550,17,W,Michelle,Campbell
ENG,1266,22,W,Demarcus,Mcgregor
ENG,1551,18,M,Jeremy,Rogers
ENG,1249,23,W,Michelle,Peters
MEX,1314,14,W,Dian,Winchester
JAP,1520,10,W,Steven,Russell
ENG,1146,20,M,Hank,Thorpe
AUS,1526,21,M,Lori,Ward
CAN,1176,18,M,Lori,Price
JAP,1236,12,M,Norma,Steele
CAN,1329,24,M,Jaye,Wick
USA,1427,25,M,Terry,Coleman
JAP,1421,23,M,Kathleen,Garcia
ENG,1208,12,M,Raul,Brewer
JAP,1075,18,M,Peter,Thompson
USA,1564,21,W,Theo,Vo
CAN,1102,20,W,Luanne,Farr
ARG,1275,13,M,Larry,Ward
ARG,1118,16,M,Linda,Peterson
